tmdb_id,title,release_date,runtime,budget,revenue,cast,crew,countries,status,overview,popularity,vote_average,vote_count,tagline,genres,production_companies
9703,The Last Legion,2007-04-19,102,67000000,25303038,"['Colin Firth', 'Ben Kingsley', 'Aishwarya Rai Bachchan', 'Peter Mullan', 'Kevin McKidd', 'John Hannah', 'Iain Glen', 'Thomas Brodie-Sangster', 'Rupert Friend', 'Nonso Anozie']","['Tarak Ben Ammar', 'Patrick Doyle', 'Raffaella De Laurentiis', 'Martha De Laurentiis', 'Doug Lefler', 'Marco Pontecorvo', 'Simon Cozens', 'David Holmes', 'Stanimir Stamatov', 'Valerio Massimo Manfredi']","['BG', 'FR', 'IT', 'SK', 'TN', 'GB', 'US']",Released,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",2.1345,5.617,845,The end of an empire...the beginning of a legend.,"['Action', 'Adventure', 'Fantasy', 'War']","['The De Laurentiis Company', 'Quinta Communications', 'Zephyr Films', 'Nimar Studios', 'Ingenious Media', 'D.D.L.', 'Carthago Films', 'Koliba Production & Services', 'Empire Productions']"
6145,Fracture,2007-04-19,113,10000000,91354215,"['Anthony Hopkins', 'Ryan Gosling', 'David Strathairn', 'Rosamund Pike', 'Embeth Davidtz', 'Billy Burke', 'Cliff Curtis', 'Fiona Shaw', 'Bob Gunton', 'Josh Stamberg']","['Toby Emmerich', 'Beverly J. Graf', 'Louise Rosner-Meyer', 'Samuel J. Brown', 'Hawk Koch', 'Michael Disco', 'Liz Glotzer', 'Gregory Hoblit', 'David Rosenbloom', 'Glenn Gers']","['DE', 'US']",Released,"A husband is on trial for the attempted murder of his wife, in what is seemingly an open/shut case for the ambitious district attorney trying to put him away. However, there are surprises for both around every corner, and, as a suspenseful game of cat-and-mouse is played out, each must manipulate and outwit the other.",5.0081,7.261,4269,I shot my wife... prove it.,['Thriller'],"['M7 Filmproduktion', 'New Line Cinema', 'Castle Rock Entertainment', 'Weinstock Productions']"
13067,In the Land of Women,2007-04-20,97,10000000,17562071,"['Adam Brody', 'Meg Ryan', 'Kristen Stewart', 'Olympia Dukakis', 'Makenzie Vega', 'Elena Anaya', 'Dustin Milligan', 'JoBeth Williams', 'Kelsey Keel', 'Danielle Savre']","['Jon Kasdan', 'Jon Kasdan', 'Laura Lee Connery', 'Angelique Midthunder', 'Steve Golin', 'David Kanter', 'Lawrence Kasdan', 'Marty Levenstein', 'Carol Littleton', 'Stephen Trask']",['US'],Released,"After a bad breakup with his girlfriend leaves him heartbroken, Carter Webb moves to Michigan to take care of his ailing grandmother. Once there, he gets mixed up in the lives of the mother and daughters who live across the street.",1.6071,5.87,522,Get ready to fall,"['Romance', 'Comedy', 'Drama']","['Castle Rock Entertainment', 'Anonymous Content', 'Land Films Inc.']"
10294,Vacancy,2007-04-20,85,19000000,35300645,"['Kate Beckinsale', 'Luke Wilson', 'Frank Whaley', 'Ethan Embry', 'Scott G. Anderson', 'Mark Casella', 'David Doty', 'Norm Compton', 'Caryn Mower', 'Meegan E. Godfrey']","['Nimród Antal', 'Hal Lieberman', 'Mark L. Smith', 'Lindsey Hayes Kroeger', 'David Rapaport', 'Kym Stys', 'Caryn Mower', 'Diana R. Lupo', 'Tracy Keehn-Dashnaw', 'Meegan E. Godfrey']",['US'],Released,"A young married couple becomes stranded at an isolated motel and find hidden video cameras in their room. They realize that unless they escape, they'll be the next victims of a snuff film.",2.569,6.279,1613,Once you've checked in... The terror begins.,"['Horror', 'Thriller']","['Screen Gems', 'Hal Lieberman Company']"
1738,Next,2007-04-25,96,70000000,76066841,"['Nicolas Cage', 'Julianne Moore', 'Jessica Biel', 'Thomas Kretschmann', 'Jim Beaver', 'Tory Kittles', 'Peter Falk', 'Enzo Cilenti', 'José Zúñiga', 'Jason Butler Harner']","['Paul Bernbaum', 'Graham King', 'Arne Schmidt', 'Norman Golightly', 'Lee Tamahori', 'Jonathan Hensleigh', 'Todd Garner', 'Matt McColm', 'Billy D. Lucas', 'Denise Chamian']",['US'],Released,"Las Vegas showroom magician Cris Johnson has a secret which torments him: he can see a few minutes into the future. Sick of the examinations he underwent as a child and the interest of the government and medical establishment in his power, he lies low under an assumed name in Vegas, performing cheap tricks and living off small-time gambling ""winnings."" But when a terrorist group threatens to detonate a nuclear device in Los Angeles, government agent Callie Ferris must use all her wiles to capture Cris and convince him to help her stop the cataclysm.",5.0729,6.121,3227,"If you can see the future, you can save it.","['Action', 'Science Fiction', 'Thriller']","['Virtual Studios', 'Revolution Studios', 'Saturn Films', 'Broken Road Productions', 'Initial Entertainment Group']"
16020,Day Zero,2007-04-27,92,2000000,16659,"['Elijah Wood', 'Chris Klein', 'Ginnifer Goodwin', 'Ally Sheedy', 'Jon Bernthal', 'Elisabeth Moss', 'Sofia Vassilieva', 'John Rothman', 'Robert Hogan', 'Clark Middleton']","['Andrea huelse', 'Laurie Krupp', 'Bryan Gunnar Cole', ""Erin O'Hara"", 'Matthew Clark', 'Robert Malkani', 'Anthony Moody', 'Bryan Gunnar Cole', 'Robert Malkani', 'Daniel Sollinger']",['US'],Released,"The military draft is back. Three best friends are drafted and given 30 days to report for duty. In that time they're forced to confront everything they believe about courage, duty, love, friendship and honor. If called to serve, what would you do?",1.1443,4.9,67,Drafted... 30 days to report for duty. What would you do?,['Drama'],['Indalo Productions']
14636,The Condemned,2007-04-27,114,20000000,8600000,"['Steve Austin', 'Vinnie Jones', 'Robert Mammone', 'Tory Mussett', 'Madeleine West', 'Rick Hoffman', 'Sullivan Stapleton', 'Manu Bennett', 'Christopher James Baker', 'Sam Healy']","['Jamie Crooks', 'Angella McPherson', 'Darwin Brooks', 'Mark Wareham', 'Michael Carl Smith', 'Tom Brkich', 'Anita Lowe', 'Kym Sainsbury', 'Barry Thompson', 'Stephen Longson']",['US'],Released,"Jack Conrad is awaiting the death penalty in a corrupt Central American prison. He is ""purchased"" by a wealthy television producer and taken to a desolate island where he must fight to the death against nine other condemned killers from all corners of the world, with freedom going to the sole survivor.",2.249,6.094,861,"10 will fight, 9 will die. You get to watch.","['Action', 'Thriller']","['Condemned Productions', 'Sidestreet Entertainment', 'WWE Studios', 'Colossal Entertainment', 'New Wave Entertainment', 'Lionsgate']"
9785,The Invisible,2007-04-27,102,30000000,26810113,"['Justin Chatwin', 'Margarita Levieva', 'Marcia Gay Harden', ""Alex O'Loughlin"", 'Michelle Harrison', 'Ryan Kennedy', 'Andrew Francis', 'Maggie Ma', 'Christopher Rodriguez Marquette', 'Callum Keith Rennie']","['David S. Goyer', 'Mike Macari', 'Roger Birnbaum', 'Neal Edelstein', 'Jonathan Glickman', 'Marco Beltrami', 'Gabriel Beristain', 'Conrad Smart', 'Gary Barber', 'Brett Armstrong']","['CA', 'US']",Released,After an attack leaves him in limbo -- invisible to the living and also near death -- a teenager discovers the only person who might be able help him is his attacker.,1.8086,6.354,577,"Life, death and something in between.","['Fantasy', 'Thriller', 'Mystery']","['Spyglass Entertainment', 'Hollywood Pictures', 'Birnbaum/Barber Productions', 'Macari/Edelstein', 'Limbo Productions', 'Sonet Film']"
15676,Nobel Son,2007-04-28,110,4000000,550782,"['Alan Rickman', 'Bryan Greenberg', 'Shawn Hatosy', 'Eliza Dushku', 'Bill Pullman', 'Mary Steenburgen', 'Danny DeVito', 'Ted Danson', 'Ernie Hudson', 'Lindy Booth']","['Randall Miller', 'Randall Miller', 'Jody Savin', 'Mike Ozier', 'Mark Adler', 'Paul Oakenfold', 'Craig Stearns', 'Randall Miller', 'Richard Pagano', 'Henry Suarez']",['US'],Released,"Soon after his insufferably arrogant father wins the Nobel Prize for chemistry, Barkley Michaelson is kidnapped by Thaddeus James, a young genius who claims to be Barkley's illegitimate half-brother. Motivated not so much by money as revenge, Thaddeus tries to convince Barkley to help him carry out a multimillion-dollar extortion plot against their patriarch.",1.0106,6.0,141,Keep your eyes on the prize.,"['Comedy', 'Crime', 'Drama']",['Gimme Five Films']
13072,Brooklyn Rules,2007-04-30,99,8000000,458232,"['Alec Baldwin', 'Mena Suvari', 'Freddie Prinze Jr.', 'Jerry Ferrara', 'Scott Caan', 'Monica Keena', 'John Cenatiempo', ""Brian O'Neill"", 'Ursula Abbott', 'Ty Thomas Reed']","['Terence Winter', 'Michael Corrente', 'Ray Fisher', 'Richard Crudo', 'Peter Bucossi', 'Michael Corrente', 'Marisa Polvino', 'Richard Barton Lewis', 'Akiva Goldsman', 'Terence Winter']",['US'],Released,"Brooklyn, 1985. With the mob world as a backdrop, three life-long friends struggle with questions of love, loss and loyalty.",1.387,5.8,74,Not made to be broken,"['Drama', 'Action', 'Thriller']",[]
1950,Lucky You,2007-05-01,124,55000000,8461686,"['Eric Bana', 'Drew Barrymore', 'Robert Duvall', 'Debra Messing', 'Jean Smart', 'Robert Downey Jr.', 'Horatio Sanz', 'Michael Shannon', 'Kelvin Han Yee', 'Danny Hoch']","['Curtis Hanson', 'Curtis Hanson', 'Eric Roth', 'Eric Roth', 'Julie Pitkanen', 'Peter Deming', 'Christopher Young', 'Mali Finn', 'Michael Kaplan', 'Clay A. Griffith']",['US'],Released,A professional poker player whose astounding luck at the table fails to translate into his lonesome love life attempts to win the World Series of Poker while simultaneously earning the affections of a beautiful Las Vegas singer.,2.2962,5.7,284,Change your game. Change your life.,"['Drama', 'Romance']","['Lonely Film Productions', 'Village Roadshow Pictures', 'Deuce Three Productions', 'Di Novi Pictures', 'Warner Bros. Pictures']"
559,Spider-Man 3,2007-05-01,139,258000000,894983373,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church', 'Topher Grace', 'Bryce Dallas Howard', 'Rosemary Harris', 'J.K. Simmons', 'James Cromwell', 'Dylan Baker']","['Avi Arad', 'J. Michael Riva', 'Leslie A. Pope', 'Grant Curtis', 'Laura Ziskin', 'James Acheson', 'Francine Maisler', 'Katina Le Kerr', 'Joseph M. Caracciolo Jr.', 'Bob Murawski']",['US'],Released,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",18.4832,6.454,15096,The greatest battle lies within.,"['Action', 'Adventure', 'Science Fiction']","['Laura Ziskin Productions', 'Marvel Studios', 'Columbia Pictures']"
46902,The Treatment,2007-05-04,86,900000,82701,"['Chris Eigeman', 'Stephanie March', 'Ian Holm', 'Famke Janssen', 'Peter Vack', 'Griffin Newman', 'Josh Caras', 'Matt Stadelmann', 'Angela Bullock']","['Oren Rudavsky', 'Oren Rudavsky', 'Daniel Saul Housman', 'Kathleen Katz', 'Antonia Dauphin', 'Andrij Parekh', 'John Zorn']",[],Released,"Jake Singer is at loose ends in NYC, and neck deep in psychoanalysis with the outrageous Dr. Morales when he meets the enigmatic and beautiful widow Allegra Marshall.",0.4561,5.7,18,"A comedy about life, love... and escaping your shrink.","['Comedy', 'Drama', 'Romance']",[]
21486,A Four Letter Word,2007-05-04,87,125000,72348,"['Jesse Archer', 'Charlie David', 'Jeremy Gender', 'Cory W. Grant', 'Max Rhyser', 'Artem Shcherbakov', 'Aaron Star', 'Jonathan Baird', 'Adam Joseph', 'Miguel Pinzon']","['Casper Andreas', 'Markus Goetze', 'Casper Andreas', 'Casper Andreas', 'Jesse Archer', 'Mich Lyon', 'Christina Kelly', 'Martina Melendez', 'Urvashi Satghare', 'Simon Jorna']",['US'],Released,"Six people in New York are adrift. Zeke and Luke work in a sex shop: Zeke takes gay liberation seriously, Luke likes to sparkle and takes nothing seriously. He's offended when Stephen calls him a gay cliché, then, surprisingly, they find each other attractive and interesting. Stephen, it turns out, has a great apartment, trust fund, and artwork he's painted on his walls. Meanwhile, Peter, a neat-freak, and Derek, nice to everyone, move in together. Peter's compulsiveness threatens the relationship. Last, newly-engaged Marilyn, a recovering alcoholic stuck at step 2, can't stop obsessing about wedding details. Can these folks sort out civilization and its discontents?",0.4181,4.3,22,Romance is so profane!,"['Comedy', 'Romance']",['Embrem Entertainment']
13159,Georgia Rule,2007-05-10,113,20000000,25000167,"['Jane Fonda', 'Lindsay Lohan', 'Felicity Huffman', 'Dermot Mulroney', 'Cary Elwes', 'Garrett Hedlund', 'Héctor Elizondo', 'Dylan McLaughlin', 'Zachary Gordon', 'Laurie Metcalf']","['Garry Marshall', 'Jake Rice', 'Gary Jones', 'Kevin Reidy', 'Dawn Solér', 'Bonnie Timmermann', 'David Robinson', 'Meegan E. Godfrey', 'Richard Marin', 'Robin Siegel']",['US'],Released,"Rebellious, uncontrollable teenager, Rachel is hauled off by her dysfunctional mother to spend the summer with her estranged grandmother, Georgia. Her journey will lead all three women to revelations of buried family secrets and an understanding that - regardless what happens - the ties that bind can never be broken.",1.8501,6.0,471,"Mother. Daughter. Grandmother. In this family, attitude doesn't skip a generation.","['Drama', 'Comedy', 'Romance']",['Morgan Creek Entertainment']
46301,Disappearances,2007-05-11,118,1500000,312642,"['Kris Kristofferson', 'Charlie McDermott', 'Gary Farmer', 'William Sanderson', 'Geneviève Bujold', 'Lothaire Bluteau', 'Heather Rae', 'Bill Raymond']","['Jay Craven', 'Howard Frank Mosher', 'Jay Craven']",['US'],Released,"Quebec Bill Bohomme is a hardy schemer and dreamer, who, desperate to raise money to preserve his endangered herd through the rapidly approaching winter, resorts to whiskey-smuggling, a traditional family occupation. Quebec Bill takes his son, Wild Bill, on the journey. Also Henry Coville, an inscrutable whiskey smuggler, and Rat Kinneson, Quebec Bill's perpetually disconsolate ex-con hired man. Together, they cross the border into vast reaches of Canadian wilderness for an unforgettable four days ""full of terror, full of wonder.""",0.4585,4.7,11,"The past is never dead, it's not even past.","['Action', 'Adventure', 'Drama', 'Western']",['Moody Street Pictures']
15019,I Could Never Be Your Woman,2007-05-11,97,24000000,9576495,"['Michelle Pfeiffer', 'Paul Rudd', 'Saoirse Ronan', 'Stacey Dash', 'Sarah Alexander', 'Graham Norton', 'Jon Lovitz', 'Fred Willard', 'Tracey Ullman', 'Yasmin Paige']","['Amy Heckerling', 'Ron Veto', 'Wayne Morse', 'Elizabeth Wilson', 'Jola Piesakowska', 'Tim Hands', 'Lisa Lovaas', 'Barbara Olvera', 'Aileen Seaton', 'Alan Latham']",['US'],Released,A mother falls for a younger man while her daughter falls in love for the first time.,1.6478,5.845,451,Find yourself in love.,"['Comedy', 'Drama', 'Romance']","['Bauer Martinez Studios', 'Templar Production', 'Lucky 7 Productions']"
